Format Version,1.24,Take Name,Take 2024-02-14 04.05.12 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-02-14 04.05.12.771 PM,Capture Start Frame,396467,Total Frames in Take,1977,Total Exported Frames,1977,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001
,ID,B2996CA1CAF011EEDE8D34655A50118E,B2996CA1CAF011EEDE8D34655A50118E,B2996CA1CAF011EEDE8D34655A50118E,B2996CA1CAF011EEDE8D34655A50118E,B2996CA1CAF011EEDE8D34655A50118E,B2996CA1CAF011EEDE8D34655A50118E
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
185,1.541667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
186,1.550000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
187,1.558333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
188,1.566667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
189,1.575000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
190,1.583333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
191,1.591667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
192,1.600000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
193,1.608333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
194,1.616667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
195,1.625000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
196,1.633333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
197,1.641667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
198,1.650000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
199,1.658333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
200,1.666667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
201,1.675000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
