=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.02.14 16:05:10 =~=~=~=~=~=~=~=~=~=~=~=
time,femur_x,femur_y,femur_z,tibia_x,tibia_y,tibia_z,gf,mg,gt,mt
19617,-1.55,-0.54,-0.12,0.18,0.06,-0.02,3,2,3,0
19677,-1.52,-0.58,-0.13,0.18,0.06,-0.02,3,2,3,0
19737,-1.55,-0.56,-0.11,0.18,0.06,-0.02,3,2,3,0
19798,-1.65,-0.48,-0.07,0.18,0.06,-0.02,3,2,3,0
19857,-1.74,-0.43,-0.04,0.18,0.06,-0.02,3,2,3,0
19917,-1.85,-0.37,-0.04,0.18,0.06,-0.02,3,2,3,0
19978,-1.89,-0.34,-0.04,0.18,0.06,-0.02,3,2,3,0
20038,-1.92,-0.34,-0.04,0.18,0.06,-0.02,3,2,3,0
20098,-1.93,-0.34,-0.05,0.18,0.06,-0.02,3,2,3,0
20158,-1.94,-0.37,-0.05,0.18,0.06,-0.02,3,2,3,0
20218,-1.92,-0.41,-0.06,0.18,0.06,-0.02,3,2,3,0
20279,-1.91,-0.43,-0.06,0.18,0.06,-0.02,3,2,3,0
20339,-1.89,-0.44,-0.06,0.18,0.06,-0.02,3,2,3,0
20400,-1.85,-0.45,-0.06,0.18,0.06,-0.02,3,2,3,0
20459,-1.82,-0.44,-0.05,0.18,0.06,-0.02,3,2,3,0
20519,-1.78,-0.43,-0.05,0.18,0.06,-0.02,3,2,3,0
20582,-1.75,-0.42,-0.05,0.18,0.06,-0.02,3,2,3,0
20645,-1.71,-0.40,-0.04,0.18,0.06,-0.02,3,2,3,0
20707,-1.68,-0.38,-0.03,0.18,0.06,-0.02,3,2,3,0
20767,-1.65,-0.39,-0.05,0.18,0.06,-0.02,3,2,3,0
20828,-1.64,-0.36,-0.04,0.18,0.06,-0.02,3,2,3,0
20888,-1.64,-0.35,-0.03,0.18,0.06,-0.02,3,2,3,0
20947,-1.68,-0.32,-0.04,0.18,0.06,-0.02,3,2,3,0
21008,-1.73,-0.29,-0.04,0.18,0.06,-0.02,3,2,3,0
21068,-1.84,-0.21,-0.04,0.18,0.06,-0.02,3,2,3,0
21129,-1.92,-0.18,-0.04,0.18,0.06,-0.02,3,2,3,0
21188,-2.01,-0.12,-0.04,0.18,0.06,-0.02,3,2,3,0
21249,-2.11,-0.08,-0.03,0.18,0.06,-0.02,3,2,3,0
21309,-2.18,-0.07,-0.02,0.18,0.06,-0.02,3,2,3,0
21368,-2.27,-0.05,-0.01,0.18,0.06,-0.02,3,2,3,0
21429,-2.35,-0.06,-0.00,0.18,0.06,-0.02,3,2,3,0
21488,-2.40,-0.07,0.00,0.18,0.06,-0.02,3,2,3,0
21549,-2.43,-0.08,0.01,0.18,0.06,-0.02,3,2,3,0
21609,-2.43,-0.09,0.02,0.18,0.06,-0.02,3,2,3,0
21668,-2.40,-0.11,0.04,0.18,0.06,-0.02,3,2,3,0
21729,-2.34,-0.12,0.06,0.18,0.06,-0.02,3,2,3,0
