Frame,time,X_rot,Y_rot,Z_rot,W_rot,X_bod,Y_bod,Z_bod,X_mkr1,Y_mkr1,Z_mkr1,X_mkr2,Y_mkr2,Z_mkr2,X_mk3,Y_mkr3,Z_mkr3,X_mkr4,Y_mkr4,Z_mkr4
76,0.633333,0.000702,0.921293,-0.368954,-0.122850,-184.574310,-451.141693,-1181.512695,-86.398872,42.860565,-665.925232,-12.692269,57.582737,-624.846191,42.210030,47.309761,-657.578735,-26.081882,18.776937,-758.128723
77,0.641667,-0.000955,0.921325,-0.368701,-0.123364,-184.440506,-451.180206,-1181.467529,-86.653687,42.652782,-665.436279,-12.732530,57.517174,-624.816467,42.294243,47.371658,-657.649292,-26.158644,18.764933,-758.059509
78,0.650000,-0.000212,0.921208,-0.369052,-0.123190,-184.513657,-451.377594,-1181.284302,-86.464951,42.812405,-665.805176,-12.645521,57.575726,-624.919556,42.316364,47.431793,-657.694092,-26.117849,18.768040,-758.113159
79,0.658333,0.000879,0.921202,-0.369117,-0.123042,-184.936264,-451.281616,-1181.240356,-86.338440,42.882317,-666.003174,-12.642648,57.569977,-624.950806,42.173733,47.281322,-657.550842,-26.196087,18.738762,-758.015076
80,0.666667,0.000825,0.921141,-0.369246,-0.123108,-184.981613,-451.426575,-1181.058228,-86.349831,42.881157,-665.997681,-12.619639,57.589680,-624.984070,42.208717,47.308495,-657.578552,-26.190248,18.737291,-757.961975
81,0.675000,0.000798,0.920996,-0.369574,-0.123207,-185.083710,-451.810699,-1180.687622,-86.281044,42.903831,-666.104004,-12.729241,57.508202,-624.852112,42.277256,47.363247,-657.686462,-26.259958,18.640631,-757.924316
82,0.683333,-0.000075,0.921054,-0.369394,-0.123317,-184.802353,-451.783142,-1180.768311,-86.498970,42.768078,-665.707214,-12.677752,57.571888,-624.880737,42.211582,47.359852,-657.607544,-26.218969,18.657900,-757.973328
83,0.691667,-0.000998,0.921140,-0.369099,-0.123557,-184.686279,-451.627411,-1180.884033,-86.694580,42.630886,-665.320740,-12.669855,57.569950,-624.890869,42.206970,47.359909,-657.600891,-26.237204,18.705183,-757.909668
84,0.700000,-0.001179,0.921290,-0.368771,-0.123416,-184.393707,-451.302185,-1181.352661,-86.721748,42.634163,-665.299622,-12.747643,57.530300,-624.793518,42.291988,47.378105,-657.697144,-26.137432,18.745335,-758.062683
85,0.708333,-0.001067,0.921212,-0.368924,-0.123543,-184.595993,-451.437164,-1181.138428,-86.658157,42.638905,-665.380127,-12.695852,57.552853,-624.844910,42.307617,47.378685,-657.655701,-26.190268,18.734215,-758.005127
86,0.716667,-0.000217,0.921109,-0.369255,-0.123321,-184.711212,-451.632996,-1180.937500,-86.476082,42.773415,-665.732788,-12.619952,57.596462,-624.939514,42.224129,47.377174,-657.615051,-26.178549,18.706684,-758.012756
87,0.725000,0.000396,0.921041,-0.369475,-0.123172,-184.863754,-451.795288,-1180.720825,-86.387535,42.843571,-665.905945,-12.751548,57.498779,-624.747314,42.224442,47.373077,-657.613037,-26.255564,18.634001,-757.892334
88,0.733333,-0.000086,0.921094,-0.369335,-0.123199,-184.550659,-451.676544,-1180.978516,-86.433273,42.834797,-665.826050,-12.657412,57.582363,-624.889465,42.400959,47.448650,-657.789612,-26.085791,18.720966,-758.101990
89,0.741667,0.000085,0.921223,-0.369007,-0.123216,-184.731262,-451.291016,-1181.280029,-86.413979,42.818710,-665.852966,-12.696080,57.553444,-624.846375,42.305550,47.375107,-657.659668,-26.173933,18.759647,-758.036743
90,0.750000,0.000312,0.921082,-0.369315,-0.123348,-185.033035,-451.624847,-1180.872070,-86.424713,42.800323,-665.809143,-12.647030,57.573532,-624.915405,42.222126,47.311348,-657.590942,-26.220940,18.657578,-757.992310
91,0.758333,-0.000619,0.921294,-0.368838,-0.123188,-184.368744,-451.305328,-1181.395630,-86.635651,42.654812,-665.416748,-12.685783,57.563236,-624.878235,42.201160,47.307076,-657.570068,-26.080040,18.721006,-758.120178
92,0.766667,-0.000651,0.921195,-0.369033,-0.123342,-184.567963,-451.539062,-1181.098145,-86.615753,42.648651,-665.463928,-12.736136,57.514332,-624.817627,42.233425,47.318268,-657.610352,-26.182787,18.665049,-758.011719
93,0.775000,-0.000134,0.921285,-0.368842,-0.123242,-184.701584,-451.187561,-1181.405151,-86.521896,42.737152,-665.690552,-12.673729,57.538074,-624.895630,42.221004,47.313259,-657.606750,-26.177406,18.754192,-758.038757
94,0.783333,0.000582,0.921123,-0.369237,-0.123272,-185.090530,-451.475891,-1180.989990,-86.357834,42.831478,-665.956909,-12.633555,57.572468,-624.930359,42.201607,47.299141,-657.575928,-26.259111,18.695910,-757.942383
95,0.791667,0.000512,0.921163,-0.369164,-0.123193,-184.954742,-451.424896,-1181.092407,-86.360001,42.806492,-665.918457,-12.679945,57.531929,-624.884644,42.203983,47.305706,-657.572876,-26.237993,18.695518,-757.971802
96,0.800000,0.000797,0.921412,-0.368721,-0.122659,-184.382965,-450.886993,-1181.841919,-86.330025,42.881161,-666.007446,-12.698573,57.531208,-624.844299,42.205353,47.308723,-657.574829,-26.050840,18.782972,-758.179565
97,0.808333,-0.001414,0.921131,-0.369069,-0.123705,-184.628189,-451.665924,-1180.871216,-86.794678,42.550121,-665.131042,-12.675989,57.563667,-624.864929,42.335659,47.398876,-657.694580,-26.251425,18.686464,-757.891174
98,0.816667,-0.000192,0.921133,-0.369151,-0.123459,-184.930115,-451.490509,-1180.959473,-86.475731,42.771351,-665.728210,-12.667611,57.575199,-624.898682,42.289413,47.374279,-657.643066,-26.256016,18.748035,-757.907959
99,0.825000,0.000362,0.921199,-0.369055,-0.123248,-184.962952,-451.298065,-1181.148560,-86.440460,42.816448,-665.790039,-12.698809,57.574642,-624.816345,42.216946,47.320698,-657.579285,-26.227249,18.749384,-757.945190
100,0.833333,-0.000944,0.921023,-0.369318,-0.123773,-184.975021,-451.832306,-1180.541016,-86.639618,42.662811,-665.397522,-12.704110,57.565628,-624.823669,42.311329,47.389587,-657.656677,-26.319141,18.686613,-757.785034
101,0.841667,-0.000587,0.920999,-0.369420,-0.123648,-184.911972,-451.833496,-1180.627808,-86.507195,42.782200,-665.665283,-12.669102,57.577103,-624.864319,42.406593,47.456867,-657.786072,-26.239193,18.707993,-757.919128
102,0.850000,-0.001334,0.921232,-0.368906,-0.123441,-184.301590,-451.442902,-1181.198975,-86.667709,42.619736,-665.332214,-12.705954,57.547554,-624.808960,42.319294,47.442997,-657.691895,-26.152912,18.768360,-757.996216
103,0.858333,-0.000251,0.921060,-0.369344,-0.123428,-184.815750,-451.719940,-1180.787720,-86.443687,42.792439,-665.779358,-12.672893,57.566799,-624.859619,42.336845,47.400318,-657.692566,-26.236057,18.694326,-757.907043
104,0.866667,0.000006,0.921225,-0.369068,-0.123019,-184.381973,-451.399109,-1181.329346,-86.392670,42.810963,-665.867798,-12.690937,57.521721,-624.818298,42.326855,47.398823,-657.677185,-26.064182,18.723003,-758.134277
105,0.875000,-0.000056,0.921149,-0.369149,-0.123344,-184.821716,-451.468018,-1181.042969,-86.392235,42.788784,-665.846008,-12.686812,57.544682,-624.851440,42.321442,47.389771,-657.672241,-26.256912,18.743450,-757.901794
106,0.883333,0.000117,0.921105,-0.369254,-0.123362,-184.992157,-451.572083,-1180.873413,-86.387794,42.798218,-665.875610,-12.711369,57.515533,-624.829773,42.222916,47.368130,-657.618835,-26.312918,18.705330,-757.851685
107,0.891667,-0.000031,0.921135,-0.369212,-0.123256,-184.716537,-451.566681,-1181.037842,-86.390831,42.789669,-665.867065,-12.699032,57.514027,-624.840393,42.313622,47.385368,-657.725037,-26.185499,18.696014,-758.010925
108,0.900000,0.000041,0.920983,-0.369574,-0.123307,-184.779007,-451.924805,-1180.670776,-86.339729,42.827671,-665.969116,-12.645281,57.562477,-624.915466,42.302216,47.432854,-657.739441,-26.216713,18.663128,-757.980774
109,0.908333,-0.000142,0.920958,-0.369623,-0.123346,-184.737946,-452.025879,-1180.571411,-86.381950,42.780720,-665.872131,-12.657016,57.560860,-624.903870,42.301846,47.429722,-657.682739,-26.227633,18.641432,-757.961975
110,0.916667,-0.000448,0.921034,-0.369447,-0.123309,-184.564209,-451.883270,-1180.721069,-86.417564,42.755909,-665.833069,-12.734456,57.518063,-624.790344,42.330746,47.465321,-657.722351,-26.254375,18.684063,-757.888672
111,0.925000,-0.000903,0.921038,-0.369335,-0.123616,-184.776443,-451.860809,-1180.643799,-86.589973,42.624554,-665.466919,-12.632208,57.585556,-624.925232,42.223312,47.371731,-657.614258,-26.290867,18.678455,-757.868652
112,0.933333,0.000326,0.921022,-0.369481,-0.123296,-184.975174,-451.776062,-1180.677368,-86.337105,42.854229,-665.958008,-12.661354,57.571842,-624.886841,42.210789,47.368767,-657.601929,-26.263266,18.687323,-757.875488
